sample	bam	group
GSM8376044	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE271392/star/GSM8376044/GSM8376044_Aligned.out.bam	Wildtype__Cervical_spinal_cord__9_weeks
GSM8376045	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE271392/star/GSM8376045/GSM8376045_Aligned.out.bam	Wildtype__Medulla__9_weeks
GSM8376046	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE271392/star/GSM8376046/GSM8376046_Aligned.out.bam	SCA7_266Q_5Q__Cervical_spinal_cord__9_weeks
GSM8376047	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE271392/star/GSM8376047/GSM8376047_Aligned.out.bam	SCA7_266Q_5Q__Medulla__9_weeks
GSM8376048	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE271392/star/GSM8376048/GSM8376048_Aligned.out.bam	Wildtype__Cervical_spinal_cord__9_weeks
GSM8376049	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE271392/star/GSM8376049/GSM8376049_Aligned.out.bam	Wildtype__Medulla__9_weeks
GSM8376050	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE271392/star/GSM8376050/GSM8376050_Aligned.out.bam	SCA7_266Q_5Q__Cervical_spinal_cord__9_weeks
GSM8376051	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE271392/star/GSM8376051/GSM8376051_Aligned.out.bam	SCA7_266Q_5Q__Medulla__9_weeks
GSM8376052	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE271392/star/GSM8376052/GSM8376052_Aligned.out.bam	SCA7_266Q_5Q__Cervical_spinal_cord__9_weeks
GSM8376053	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE271392/star/GSM8376053/GSM8376053_Aligned.out.bam	SCA7_266Q_5Q__Medulla__9_weeks
GSM8376054	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE271392/star/GSM8376054/GSM8376054_Aligned.out.bam	Wildtype__Cervical_spinal_cord__9_weeks
GSM8376055	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE271392/star/GSM8376055/GSM8376055_Aligned.out.bam	Wildtype__Medulla__9_weeks
GSM8376056	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE271392/star/GSM8376056/GSM8376056_Aligned.out.bam	SCA7_266Q_5Q__Cervical_spinal_cord__9_weeks
GSM8376057	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE271392/star/GSM8376057/GSM8376057_Aligned.out.bam	SCA7_266Q_5Q__Medulla__9_weeks
GSM8376058	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE271392/star/GSM8376058/GSM8376058_Aligned.out.bam	SCA7_266Q_5Q__Cervical_spinal_cord__9_weeks
GSM8376059	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE271392/star/GSM8376059/GSM8376059_Aligned.out.bam	SCA7_266Q_5Q__Medulla__9_weeks
GSM8376060	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE271392/star/GSM8376060/GSM8376060_Aligned.out.bam	Wildtype__Cervical_spinal_cord__9_weeks
GSM8376061	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE271392/star/GSM8376061/GSM8376061_Aligned.out.bam	Wildtype__Medulla__9_weeks
