sample	bam	group
GSM7465472	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE234350/star/GSM7465472/GSM7465472_Aligned.out.bam	APOE4_KI__Phagocytic_microglia
GSM7465473	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE234350/star/GSM7465473/GSM7465473_Aligned.out.bam	APOE4_KI__Non_phagocytic_microglia
GSM7465474	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE234350/star/GSM7465474/GSM7465474_Aligned.out.bam	APOE4_KI__Phagocytic_microglia
GSM7465475	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE234350/star/GSM7465475/GSM7465475_Aligned.out.bam	APOE4_KI__Phagocytic_microglia
GSM7465476	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE234350/star/GSM7465476/GSM7465476_Aligned.out.bam	APOE4_KI__Non_phagocytic_microglia
GSM7465477	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE234350/star/GSM7465477/GSM7465477_Aligned.out.bam	APOE4_KI__Phagocytic_microglia
GSM7465478	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE234350/star/GSM7465478/GSM7465478_Aligned.out.bam	APOE4_KI__Non_phagocytic_microglia
GSM7465479	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE234350/star/GSM7465479/GSM7465479_Aligned.out.bam	APOE4_KI__Phagocytic_microglia
GSM7465480	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE234350/star/GSM7465480/GSM7465480_Aligned.out.bam	APOE4_KI__Non_phagocytic_microglia
GSM7465481	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE234350/star/GSM7465481/GSM7465481_Aligned.out.bam	APOE4_KI__Phagocytic_microglia
GSM7465482	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE234350/star/GSM7465482/GSM7465482_Aligned.out.bam	APOE4_KI__Non_phagocytic_microglia
GSM7465483	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE234350/star/GSM7465483/GSM7465483_Aligned.out.bam	APOE4_cKO__Non_phagocytic_microglia
GSM7465484	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE234350/star/GSM7465484/GSM7465484_Aligned.out.bam	APOE4_cKO__Phagocytic_microglia
GSM7465485	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE234350/star/GSM7465485/GSM7465485_Aligned.out.bam	APOE4_cKO__Non_phagocytic_microglia
GSM7465486	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE234350/star/GSM7465486/GSM7465486_Aligned.out.bam	APOE4_cKO__Phagocytic_microglia
GSM7465487	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE234350/star/GSM7465487/GSM7465487_Aligned.out.bam	APOE4_cKO__Phagocytic_microglia
GSM7465488	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE234350/star/GSM7465488/GSM7465488_Aligned.out.bam	APOE4_cKO__Non_phagocytic_microglia
GSM7465489	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE234350/star/GSM7465489/GSM7465489_Aligned.out.bam	APOE4_cKO__Phagocytic_microglia
