sample	bam	group
GSM7469438	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE234488/star/GSM7469438/GSM7469438_Aligned.out.bam	AD_APOEe3_e3
GSM7469439	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE234488/star/GSM7469439/GSM7469439_Aligned.out.bam	AD_APOEe3_e3
GSM7469440	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE234488/star/GSM7469440/GSM7469440_Aligned.out.bam	AD_APOEe3_e3
GSM7469441	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE234488/star/GSM7469441/GSM7469441_Aligned.out.bam	AD_APOEe3_e3
GSM7469442	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE234488/star/GSM7469442/GSM7469442_Aligned.out.bam	AD_APOEe3_e3
GSM7469443	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE234488/star/GSM7469443/GSM7469443_Aligned.out.bam	AD_APOEe3_e3
GSM7469444	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE234488/star/GSM7469444/GSM7469444_Aligned.out.bam	AD_APOEe3_e3
GSM7469445	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE234488/star/GSM7469445/GSM7469445_Aligned.out.bam	AD_APOEe3_e3
GSM7469446	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE234488/star/GSM7469446/GSM7469446_Aligned.out.bam	AD_APOEe3_e3
GSM7469447	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE234488/star/GSM7469447/GSM7469447_Aligned.out.bam	AD_APOEe3_e3
GSM7469448	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE234488/star/GSM7469448/GSM7469448_Aligned.out.bam	AD_APOEe3_e3
GSM7469449	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE234488/star/GSM7469449/GSM7469449_Aligned.out.bam	AD_APOEe3_e3
GSM7469450	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE234488/star/GSM7469450/GSM7469450_Aligned.out.bam	AD_APOEe3_e4
GSM7469451	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE234488/star/GSM7469451/GSM7469451_Aligned.out.bam	AD_APOEe3_e4
GSM7469452	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE234488/star/GSM7469452/GSM7469452_Aligned.out.bam	AD_APOEe3_e4
GSM7469453	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE234488/star/GSM7469453/GSM7469453_Aligned.out.bam	AD_APOEe3_e4
GSM7469454	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE234488/star/GSM7469454/GSM7469454_Aligned.out.bam	AD_APOEe3_e4
GSM7469455	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE234488/star/GSM7469455/GSM7469455_Aligned.out.bam	AD_APOEe3_e4
GSM7469456	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE234488/star/GSM7469456/GSM7469456_Aligned.out.bam	AD_APOEe3_e4
GSM7469457	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE234488/star/GSM7469457/GSM7469457_Aligned.out.bam	AD_APOEe3_e4
GSM7469458	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE234488/star/GSM7469458/GSM7469458_Aligned.out.bam	AD_APOEe3_e4
GSM7469459	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE234488/star/GSM7469459/GSM7469459_Aligned.out.bam	AD_APOEe3_e4
GSM7469460	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE234488/star/GSM7469460/GSM7469460_Aligned.out.bam	AD_APOEe3_e4
GSM7469461	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE234488/star/GSM7469461/GSM7469461_Aligned.out.bam	AD_APOEe3_e4
GSM7469462	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE234488/star/GSM7469462/GSM7469462_Aligned.out.bam	AD_APOEe3_e4
