sample	bam	group
ERS2075865	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/E-MTAB-6293/star/ERS2075865/ERS2075865_Aligned.out.bam	ATXN2Q127__1_day
ERS2075866	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/E-MTAB-6293/star/ERS2075866/ERS2075866_Aligned.out.bam	ATXN2Q127__1_day
ERS2075867	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/E-MTAB-6293/star/ERS2075867/ERS2075867_Aligned.out.bam	ATXN2Q127__1_day
ERS2075868	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/E-MTAB-6293/star/ERS2075868/ERS2075868_Aligned.out.bam	ATXN2Q127__1_day
ERS2075869	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/E-MTAB-6293/star/ERS2075869/ERS2075869_Aligned.out.bam	wild_type_genotype__3_week
ERS2075870	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/E-MTAB-6293/star/ERS2075870/ERS2075870_Aligned.out.bam	wild_type_genotype__3_week
ERS2075871	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/E-MTAB-6293/star/ERS2075871/ERS2075871_Aligned.out.bam	wild_type_genotype__3_week
ERS2075872	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/E-MTAB-6293/star/ERS2075872/ERS2075872_Aligned.out.bam	wild_type_genotype__1_day
ERS2075873	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/E-MTAB-6293/star/ERS2075873/ERS2075873_Aligned.out.bam	wild_type_genotype__3_week
ERS2075874	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/E-MTAB-6293/star/ERS2075874/ERS2075874_Aligned.out.bam	wild_type_genotype__3_week
ERS2075875	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/E-MTAB-6293/star/ERS2075875/ERS2075875_Aligned.out.bam	wild_type_genotype__3_week
ERS2075876	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/E-MTAB-6293/star/ERS2075876/ERS2075876_Aligned.out.bam	wild_type_genotype__3_week
ERS2075877	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/E-MTAB-6293/star/ERS2075877/ERS2075877_Aligned.out.bam	wild_type_genotype__3_week
ERS2075878	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/E-MTAB-6293/star/ERS2075878/ERS2075878_Aligned.out.bam	ATXN2Q127__3_week
ERS2075879	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/E-MTAB-6293/star/ERS2075879/ERS2075879_Aligned.out.bam	ATXN2Q127__3_week
ERS2075880	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/E-MTAB-6293/star/ERS2075880/ERS2075880_Aligned.out.bam	ATXN2Q127__3_week
ERS2075881	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/E-MTAB-6293/star/ERS2075881/ERS2075881_Aligned.out.bam	ATXN2Q127__3_week
ERS2075882	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/E-MTAB-6293/star/ERS2075882/ERS2075882_Aligned.out.bam	wild_type_genotype__1_day
ERS2075883	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/E-MTAB-6293/star/ERS2075883/ERS2075883_Aligned.out.bam	ATXN2Q127__3_week
ERS2075884	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/E-MTAB-6293/star/ERS2075884/ERS2075884_Aligned.out.bam	ATXN2Q127__3_week
ERS2075885	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/E-MTAB-6293/star/ERS2075885/ERS2075885_Aligned.out.bam	ATXN2Q127__3_week
ERS2075886	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/E-MTAB-6293/star/ERS2075886/ERS2075886_Aligned.out.bam	wild_type_genotype__1_day
ERS2075887	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/E-MTAB-6293/star/ERS2075887/ERS2075887_Aligned.out.bam	wild_type_genotype__1_day
ERS2075888	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/E-MTAB-6293/star/ERS2075888/ERS2075888_Aligned.out.bam	wild_type_genotype__1_day
ERS2075889	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/E-MTAB-6293/star/ERS2075889/ERS2075889_Aligned.out.bam	wild_type_genotype__1_day
ERS2075890	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/E-MTAB-6293/star/ERS2075890/ERS2075890_Aligned.out.bam	wild_type_genotype__1_day
ERS2075891	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/E-MTAB-6293/star/ERS2075891/ERS2075891_Aligned.out.bam	ATXN2Q127__1_day
