sample	bam	group
GSM2751149	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE102956_paired/star/GSM2751149/GSM2751149_Aligned.out.bam	APOE3__microglia_like_cells
GSM2751150	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE102956_paired/star/GSM2751150/GSM2751150_Aligned.out.bam	APOE3__microglia_like_cells
GSM2751151	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE102956_paired/star/GSM2751151/GSM2751151_Aligned.out.bam	APOE3__microglia_like_cells
GSM2751152	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE102956_paired/star/GSM2751152/GSM2751152_Aligned.out.bam	APOE3__microglia_like_cells
GSM2751153	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE102956_paired/star/GSM2751153/GSM2751153_Aligned.out.bam	APOE4__microglia_like_cells
GSM2751154	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE102956_paired/star/GSM2751154/GSM2751154_Aligned.out.bam	APOE4__microglia_like_cells
GSM2751155	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE102956_paired/star/GSM2751155/GSM2751155_Aligned.out.bam	APOE4__microglia_like_cells
GSM2751156	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE102956_paired/star/GSM2751156/GSM2751156_Aligned.out.bam	APOE4__microglia_like_cells
