sample	bam	group
GSM8035914	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE254205/star/GSM8035914/GSM8035914_Aligned.out.bam	APOE_4_4__untreated
GSM8035915	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE254205/star/GSM8035915/GSM8035915_Aligned.out.bam	APOE_4_4__untreated
GSM8035916	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE254205/star/GSM8035916/GSM8035916_Aligned.out.bam	APOE_4_4__untreated
GSM8035917	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE254205/star/GSM8035917/GSM8035917_Aligned.out.bam	APOE_4_4__fAB_treated
GSM8035918	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE254205/star/GSM8035918/GSM8035918_Aligned.out.bam	APOE_4_4__fAB_treated
GSM8035919	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE254205/star/GSM8035919/GSM8035919_Aligned.out.bam	APOE_4_4__fAB_treated
GSM8035920	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE254205/star/GSM8035920/GSM8035920_Aligned.out.bam	APOE_4_4__GNE_317_fAB_treated
GSM8035921	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE254205/star/GSM8035921/GSM8035921_Aligned.out.bam	APOE_4_4__GNE_317_fAB_treated
GSM8035922	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE254205/star/GSM8035922/GSM8035922_Aligned.out.bam	APOE_4_4__GNE_317_fAB_treated
GSM8035923	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE254205/star/GSM8035923/GSM8035923_Aligned.out.bam	APOE_3_3__APOE_3_3_iMG_LD_low__LD_low
GSM8035924	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE254205/star/GSM8035924/GSM8035924_Aligned.out.bam	APOE_3_3__APOE_3_3_iMG_LD_low__LD_low
GSM8035925	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE254205/star/GSM8035925/GSM8035925_Aligned.out.bam	APOE_3_3__APOE_3_3_iMG_LD_high__LD_high
GSM8035926	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE254205/star/GSM8035926/GSM8035926_Aligned.out.bam	APOE_3_3__APOE_3_3_iMG_LD_high__LD_high
GSM8035927	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE254205/star/GSM8035927/GSM8035927_Aligned.out.bam	APOE_4_4__APOE_4_4_iMG_LD_low__LD_low
GSM8035928	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE254205/star/GSM8035928/GSM8035928_Aligned.out.bam	APOE_4_4__APOE_4_4_iMG_LD_low__LD_low
GSM8035929	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE254205/star/GSM8035929/GSM8035929_Aligned.out.bam	APOE_4_4__APOE_4_4_iMG_LD_high__LD_high
GSM8035930	/rhome/naotok/bigdata/neurodegeneration/GEO_SRA/GSE254205/star/GSM8035930/GSM8035930_Aligned.out.bam	APOE_4_4__APOE_4_4_iMG_LD_high__LD_high
