record_type	analysis_id	contrast_name	download_job	qc_job	counts_job	shiba_job	deseq2_job	download_dependency
base	E-MTAB-6293	NA	28011471	28011472	28011473	NA	NA	direct
base	GSE234488	NA	28011474	28011475	28011476	NA	NA	afterany:28011471
contrast	E-MTAB-6293	SCA2_vs_WT_P1	28011471	28011472	28011473	28011477	28011478	NA
contrast	E-MTAB-6293	SCA2_vs_WT_3wk	28011471	28011472	28011473	28011479	28011480	NA
contrast	E-MTAB-6293	SCA2_vs_WT_6wk	28011471	28011472	28011473	28011481	28011482	NA
contrast	GSE234488	APOEe3e4_vs_APOEe3e3	28011474	28011475	28011476	28011483	28011484	NA
