analysis_id	contrast_name	shiba_job	deseq2_job	qc_dependency	counts_dependency
E-MTAB-6293	SCA2_vs_WT_P1	27983111	27983112	27983094	27983095
E-MTAB-6293	SCA2_vs_WT_3wk	27983113	27983114	27983094	27983095
E-MTAB-6293	SCA2_vs_WT_6wk	27983115	27983116	27983094	27983095
GSE138527	SCA7_vs_WT_40wk	27983117	27983118	27983061	27983062
GSE139090	SCA7_vs_WT_12wk	27983119	27983120	27983067	27983068
GSE139090	SCA7_vs_WT_29wk	27983121	27983122	27983067	27983068
GSE271392	SCA7_vs_WT_medulla_P8	27983123	27983124	27983088	27983089
GSE271392	SCA7_vs_WT_medulla_5wk	27983125	27983126	27983088	27983089
GSE271392	SCA7_vs_WT_medulla_9wk	27983127	27983128	27983088	27983089
GSE271392	SCA7_vs_WT_cervical_5wk	27983129	27983130	27983088	27983089
GSE271392	SCA7_vs_WT_cervical_9wk	27983131	27983132	27983088	27983089
GSE102956_paired	APOE4_vs_APOE3_microglia	27983133	27983134	27983064	27983065
GSE102956_single	APOE4_vs_APOE3_astrocytes	27983135	27983136	27983076	27983077
GSE102956_single	APOE4_vs_APOE3_iPSCs	27983137	27983138	27983076	27983077
GSE102956_single	APOE4_vs_APOE3_neurons	27983139	27983140	27983076	27983077
GSE140205	APOE4_vs_APOE3_female	27983141	27983142	27983079	27983080
GSE140205	APOE4_vs_APOE3_male	27983143	27983144	27983079	27983080
GSE163857_human	E3E4_vs_E3E3_CTL_female	27983145	27983146	27983082	27983083
GSE163857_human	E4E4_vs_E3E3_CTL_female	27983147	27983148	27983082	27983083
GSE163857_human	E3E4_vs_E3E3_CTL_male	27983149	27983150	27983082	27983083
GSE163857_mouse	E4E4_vs_E3E3_FAD_female	27983151	27983152	27983085	27983086
GSE163857_mouse	E4E4_vs_E3E3_FAD_male	27983153	27983154	27983085	27983086
GSE163857_mouse	E4E4_vs_E3E3_TR_female	27983155	27983156	27983085	27983086
GSE234350	APOE4_vs_APOE3_KI_phagocytic	27983157	27983158	27983091	27983092
GSE234350	APOE4_vs_APOE3_KI_nonphagocytic	27983159	27983160	27983091	27983092
GSE234480	APOE4_cKO_vs_APOE4	27983161	27983162	27983070	27983071
GSE234488	APOEe3e4_vs_APOEe3e3	27983163	27983164	27983097	27983098
GSE254205	fAB_vs_untreated_APOE44	27983165	27983166	27983073	27983074
GSE254205	GNE_fAB_vs_fAB_APOE44	27983167	27983168	27983073	27983074
GSE254205	LDhigh_vs_LDlow_APOE33	27983169	27983170	27983073	27983074
GSE254205	LDhigh_vs_LDlow_APOE44	27983171	27983172	27983073	27983074
GSE254205	APOE44_vs_APOE33_LDlow	27983173	27983174	27983073	27983074
GSE254205	APOE44_vs_APOE33_LDhigh	27983175	27983176	27983073	27983074
