sample	group	species	title	genotype	age	sex	tissue	cell_type	disease	treatment	background	batch	runs
GSM7465472	APOE4_KI__Phagocytic_microglia	Mus musculus	APOE4-KI, Phagocytic microglia, biol rep 1	APOE4-KI	8 Months	Female	brain	Phagocytic microglia					SRR24860348,SRR24860349
GSM7465473	APOE4_KI__Non_phagocytic_microglia	Mus musculus	APOE4-KI, Non-phagocytic microglia, biol rep 1	APOE4-KI	8 Months	Female	brain	Non-phagocytic microglia					SRR24860346,SRR24860347
GSM7465474	APOE4_KI__Phagocytic_microglia	Mus musculus	APOE4-KI, Phagocytic microglia, biol rep 2	APOE4-KI	8 Months	Male	brain	Phagocytic microglia					SRR24860344,SRR24860345
GSM7465475	APOE4_KI__Phagocytic_microglia	Mus musculus	APOE4-KI, Phagocytic microglia, biol rep 3	APOE4-KI	8 Months	Male	brain	Phagocytic microglia					SRR24860342,SRR24860343
GSM7465476	APOE4_KI__Non_phagocytic_microglia	Mus musculus	APOE4-KI, Non-phagocytic microglia, biol rep 2	APOE4-KI	8 Months	Male	brain	Non-phagocytic microglia					SRR24860340,SRR24860341
GSM7465477	APOE4_KI__Phagocytic_microglia	Mus musculus	APOE4-KI, Phagocytic microglia, biol rep 4	APOE4-KI	8 Months	Male	brain	Phagocytic microglia					SRR24860338,SRR24860339
GSM7465478	APOE4_KI__Non_phagocytic_microglia	Mus musculus	APOE4-KI, Non-phagocytic microglia, biol rep 3	APOE4-KI	8 Months	Male	brain	Non-phagocytic microglia					SRR24860336,SRR24860337
GSM7465479	APOE4_KI__Phagocytic_microglia	Mus musculus	APOE4-KI, Phagocytic microglia, biol rep 5	APOE4-KI	8 Months	Male	brain	Phagocytic microglia					SRR24860334,SRR24860335
GSM7465480	APOE4_KI__Non_phagocytic_microglia	Mus musculus	APOE4-KI, Non-phagocytic microglia, biol rep 4	APOE4-KI	8 Months	Male	brain	Non-phagocytic microglia					SRR24860332,SRR24860333
GSM7465481	APOE4_KI__Phagocytic_microglia	Mus musculus	APOE4-KI, Phagocytic microglia, biol rep 6	APOE4-KI	8 Months	Male	brain	Phagocytic microglia					SRR24860330,SRR24860331
GSM7465482	APOE4_KI__Non_phagocytic_microglia	Mus musculus	APOE4-KI, Non-phagocytic microglia, biol rep 5	APOE4-KI	8 Months	Male	brain	Non-phagocytic microglia					SRR24860328,SRR24860329
GSM7465483	APOE4_cKO__Non_phagocytic_microglia	Mus musculus	APOE4-cKO, Non-phagocytic microglia, biol rep 1	APOE4-cKO	8 Months	Female	brain	Non-phagocytic microglia					SRR24860326,SRR24860327
GSM7465484	APOE4_cKO__Phagocytic_microglia	Mus musculus	APOE4-cKO, Phagocytic microglia, biol rep 1	APOE4-cKO	8 Months	Male	brain	Phagocytic microglia					SRR24860324,SRR24860325
GSM7465485	APOE4_cKO__Non_phagocytic_microglia	Mus musculus	APOE4-cKO, Non-phagocytic microglia, biol rep 2	APOE4-cKO	8 Months	Male	brain	Non-phagocytic microglia					SRR24860322,SRR24860323
GSM7465486	APOE4_cKO__Phagocytic_microglia	Mus musculus	APOE4-cKO, Phagocytic microglia, biol rep 2	APOE4-cKO	8 Months	Male	brain	Phagocytic microglia					SRR24860320,SRR24860321
GSM7465487	APOE4_cKO__Phagocytic_microglia	Mus musculus	APOE4-cKO, Phagocytic microglia, biol rep 3	APOE4-cKO	8 Months	Male	brain	Phagocytic microglia					SRR24860318,SRR24860319
GSM7465488	APOE4_cKO__Non_phagocytic_microglia	Mus musculus	APOE4-cKO, Non-phagocytic microglia, biol rep 3	APOE4-cKO	8 Months	Male	brain	Non-phagocytic microglia					SRR24860316,SRR24860317
GSM7465489	APOE4_cKO__Phagocytic_microglia	Mus musculus	APOE4-cKO, Phagocytic microglia, biol rep 4	APOE4-cKO	8 Months	Male	brain	Phagocytic microglia					SRR24860314,SRR24860315
GSM7465490	APOE4_cKO__Non_phagocytic_microglia	Mus musculus	APOE4-cKO, Non-phagocytic microglia, biol rep 4	APOE4-cKO	8 Months	Male	brain	Non-phagocytic microglia					SRR24860312,SRR24860313
