sample	group	species	title	genotype	age	sex	tissue	cell_type	disease	treatment	background	batch	runs
GSM7465491	APOE3_KI__Phagocytic_microglia	Mus musculus	APOE3-KI, Phagocytic microglia, biol rep 1	APOE3-KI	8 Months	Male	brain	Phagocytic microglia					SRR24860310,SRR24860311
GSM7465492	APOE3_KI__Non_phagocytic_microglia	Mus musculus	APOE3-KI, Non-phagocytic microglia, biol rep 1	APOE3-KI	8 Months	Male	brain	Non-phagocytic microglia					SRR24860308,SRR24860309
GSM7465493	APOE3_KI__Phagocytic_microglia	Mus musculus	APOE3-KI, Phagocytic microglia, biol rep 2	APOE3-KI	8 Months	Male	brain	Phagocytic microglia					SRR24860306,SRR24860307
GSM7465494	APOE3_KI__Non_phagocytic_microglia	Mus musculus	APOE3-KI, Non-phagocytic microglia, biol rep 2	APOE3-KI	8 Months	Male	brain	Non-phagocytic microglia					SRR24860304,SRR24860305
GSM7465495	APOE3_KI__Non_phagocytic_microglia	Mus musculus	APOE3-KI, Non-phagocytic microglia, biol rep 3	APOE3-KI	8 Months	Male	brain	Non-phagocytic microglia					SRR24860302,SRR24860303
GSM7465496	APOE3_KI__Phagocytic_microglia	Mus musculus	APOE3-KI, Phagocytic microglia, biol rep 3	APOE3-KI	8 Months	Male	brain	Phagocytic microglia					SRR24860300,SRR24860301
GSM7465497	APOE3_KI__Phagocytic_microglia	Mus musculus	APOE3-KI, Phagocytic microglia, biol rep 4	APOE3-KI	8 Months	Male	brain	Phagocytic microglia					SRR24860298,SRR24860299
GSM7465498	APOE3_KI__Non_phagocytic_microglia	Mus musculus	APOE3-KI, Non-phagocytic microglia, biol rep 4	APOE3-KI	8 Months	Male	brain	Non-phagocytic microglia					SRR24860296,SRR24860297
GSM7465499	APOE3_cKO__Phagocytic_microglia	Mus musculus	APOE3-cKO, Phagocytic microglia, biol rep 1	APOE3-cKO	8 Months	Male	brain	Phagocytic microglia					SRR24860294,SRR24860295
GSM7465500	APOE3_cKO__Non_phagocytic_microglia	Mus musculus	APOE3-cKO, Non-phagocytic microglia, biol rep 1	APOE3-cKO	8 Months	Male	brain	Non-phagocytic microglia					SRR24860292,SRR24860293
GSM7465501	APOE3_cKO__Phagocytic_microglia	Mus musculus	APOE3-cKO, Phagocytic microglia, biol rep 2	APOE3-cKO	8 Months	Male	brain	Phagocytic microglia					SRR24860290,SRR24860291
GSM7465502	APOE3_cKO__Non_phagocytic_microglia	Mus musculus	APOE3-cKO, Non-phagocytic microglia, biol rep 2	APOE3-cKO	8 Months	Male	brain	Non-phagocytic microglia					SRR24860288,SRR24860289
GSM7465503	APOE3_cKO__Phagocytic_microglia	Mus musculus	APOE3-cKO, Phagocytic microglia, biol rep 3	APOE3-cKO	8 Months	Male	brain	Phagocytic microglia					SRR24860286,SRR24860287
GSM7465504	APOE3_cKO__Non_phagocytic_microglia	Mus musculus	APOE3-cKO, Non-phagocytic microglia, biol rep 3	APOE3-cKO	8 Months	Male	brain	Non-phagocytic microglia					SRR24860284,SRR24860285
