sample	group	species	title	genotype	age	sex	tissue	cell_type	disease	treatment	background	batch	runs
ERS2075869	wild_type_genotype__3_week	Mus musculus	10630X17.txt.gz	wild type genotype	3 week	male	cerebellum		normal				ERR2237902
ERS2075870	wild_type_genotype__3_week	Mus musculus	10630X18.txt.gz	wild type genotype	3 week	male	cerebellum		normal				ERR2237903
ERS2075871	wild_type_genotype__3_week	Mus musculus	10630X19.txt.gz	wild type genotype	3 week	male	cerebellum		normal				ERR2237904
ERS2075872	wild_type_genotype__1_day	Mus musculus	10630X2.txt.gz	wild type genotype	1 day	male	cerebellum		normal				ERR2237905
ERS2075873	wild_type_genotype__3_week	Mus musculus	10630X20.txt.gz	wild type genotype	3 week	male	cerebellum		normal				ERR2237906
ERS2075874	wild_type_genotype__3_week	Mus musculus	10630X21.txt.gz	wild type genotype	3 week	male	cerebellum		normal				ERR2237907
ERS2075875	wild_type_genotype__3_week	Mus musculus	10630X22.txt.gz	wild type genotype	3 week	male	cerebellum		normal				ERR2237908
ERS2075876	wild_type_genotype__3_week	Mus musculus	10630X23.txt.gz	wild type genotype	3 week	male	cerebellum		normal				ERR2237909
ERS2075877	wild_type_genotype__3_week	Mus musculus	10630X24.txt.gz	wild type genotype	3 week	male	cerebellum		normal				ERR2237910
ERS2075878	ATXN2Q127__3_week	Mus musculus	10630X25.txt.gz	ATXN2Q127	3 week	male	cerebellum		Spinocerebellar ataxia type 2				ERR2237911
ERS2075879	ATXN2Q127__3_week	Mus musculus	10630X26.txt.gz	ATXN2Q127	3 week	male	cerebellum		Spinocerebellar ataxia type 2				ERR2237912
ERS2075880	ATXN2Q127__3_week	Mus musculus	10630X28.txt.gz	ATXN2Q127	3 week	male	cerebellum		Spinocerebellar ataxia type 2				ERR2237913
ERS2075881	ATXN2Q127__3_week	Mus musculus	10630X29.txt.gz	ATXN2Q127	3 week	male	cerebellum		Spinocerebellar ataxia type 2				ERR2237914
ERS2075882	wild_type_genotype__1_day	Mus musculus	10630X3.txt.gz	wild type genotype	1 day	male	cerebellum		normal				ERR2237915
ERS2075883	ATXN2Q127__3_week	Mus musculus	10630X30.txt.gz	ATXN2Q127	3 week	male	cerebellum		Spinocerebellar ataxia type 2				ERR2237916
ERS2075884	ATXN2Q127__3_week	Mus musculus	10630X31.txt.gz	ATXN2Q127	3 week	male	cerebellum		Spinocerebellar ataxia type 2				ERR2237917
ERS2075885	ATXN2Q127__3_week	Mus musculus	10630X32.txt.gz	ATXN2Q127	3 week	male	cerebellum		Spinocerebellar ataxia type 2				ERR2237918
ERS2075886	wild_type_genotype__1_day	Mus musculus	10630X4.txt.gz	wild type genotype	1 day	male	cerebellum		normal				ERR2237919
ERS2075887	wild_type_genotype__1_day	Mus musculus	10630X5.txt.gz	wild type genotype	1 day	male	cerebellum		normal				ERR2237920
ERS2075888	wild_type_genotype__1_day	Mus musculus	10630X6.txt.gz	wild type genotype	1 day	male	cerebellum		normal				ERR2237921
ERS2075889	wild_type_genotype__1_day	Mus musculus	10630X7.txt.gz	wild type genotype	1 day	male	cerebellum		normal				ERR2237922
ERS2075890	wild_type_genotype__1_day	Mus musculus	10630X8.txt.gz	wild type genotype	1 day	male	cerebellum		normal				ERR2237923
ERS2075891	ATXN2Q127__1_day	Mus musculus	10630X9.txt.gz	ATXN2Q127	1 day	male	cerebellum		Spinocerebellar ataxia type 2				ERR2237924
