dataset	sample	run	experiment	species	layout	title	source	library_strategy	library_source	library_selection	instrument	fastq_url	fastq_md5	fastq_bytes	characteristics	cell_type	genotype	passages
GSE102956	GSM2751150	SRR5956460	SRX3114827	Homo sapiens	paired	RNA-Seq MIC APOE3_rep2	iPSC-derived microglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/956/SRR5956460.sralite.1			"{""cell_type"": ""microglia-like cells"", ""genotype"": ""APOE3"", ""passages"": ""P1""}"	microglia-like cells	APOE3	P1
GSE102956	GSM2751151	SRR5956461	SRX3114828	Homo sapiens	paired	RNA-Seq MIC APOE3_rep3	iPSC-derived microglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/956/SRR5956461.sralite.1			"{""cell_type"": ""microglia-like cells"", ""genotype"": ""APOE3"", ""passages"": ""P1""}"	microglia-like cells	APOE3	P1
GSE102956	GSM2751152	SRR5956462	SRX3114829	Homo sapiens	paired	RNA-Seq MIC APOE3_rep4	iPSC-derived microglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/956/SRR5956462.sralite.1			"{""cell_type"": ""microglia-like cells"", ""genotype"": ""APOE3"", ""passages"": ""P1""}"	microglia-like cells	APOE3	P1
GSE102956	GSM2751153	SRR5956463	SRX3114830	Homo sapiens	paired	RNA-Seq MIC APOE4_rep1	iPSC-derived microglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/956/SRR5956463.sralite.1			"{""cell_type"": ""microglia-like cells"", ""genotype"": ""APOE4"", ""passages"": ""P1""}"	microglia-like cells	APOE4	P1
GSE102956	GSM2751154	SRR5956464	SRX3114831	Homo sapiens	paired	RNA-Seq MIC APOE4_rep2	iPSC-derived microglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/956/SRR5956464.sralite.1			"{""cell_type"": ""microglia-like cells"", ""genotype"": ""APOE4"", ""passages"": ""P1""}"	microglia-like cells	APOE4	P1
GSE102956	GSM2751155	SRR5956465	SRX3114832	Homo sapiens	paired	RNA-Seq MIC APOE4_rep3	iPSC-derived microglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/956/SRR5956465.sralite.1			"{""cell_type"": ""microglia-like cells"", ""genotype"": ""APOE4"", ""passages"": ""P1""}"	microglia-like cells	APOE4	P1
GSE102956	GSM2751156	SRR5956466	SRX3114833	Homo sapiens	paired	RNA-Seq MIC APOE4_rep4	iPSC-derived microglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/956/SRR5956466.sralite.1			"{""cell_type"": ""microglia-like cells"", ""genotype"": ""APOE4"", ""passages"": ""P1""}"	microglia-like cells	APOE4	P1
GSE102956	GSM2751157	SRR5956467	SRX3114834	Homo sapiens	single	RNA-Seq NEU APOE3_rep1	iPSC-derived neurons	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/956/SRR5956467.sralite.1			"{""cell_type"": ""neuron"", ""genotype"": ""APOE3"", ""passages"": ""P1""}"	neuron	APOE3	P1
GSE102956	GSM2751158	SRR5956468	SRX3114835	Homo sapiens	single	RNA-Seq NEU APOE3_rep2	iPSC-derived neurons	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/956/SRR5956468.sralite.1			"{""cell_type"": ""neuron"", ""genotype"": ""APOE3"", ""passages"": ""P1""}"	neuron	APOE3	P1
GSE102956	GSM2751159	SRR5956469	SRX3114836	Homo sapiens	single	RNA-Seq NEU APOE3_rep3	iPSC-derived neurons	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/956/SRR5956469.sralite.1			"{""cell_type"": ""neuron"", ""genotype"": ""APOE3"", ""passages"": ""P1""}"	neuron	APOE3	P1
GSE102956	GSM2751160	SRR5956470	SRX3114837	Homo sapiens	single	RNA-Seq NEU APOE4_rep1	iPSC-derived neurons	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/956/SRR5956470.sralite.1			"{""cell_type"": ""neuron"", ""genotype"": ""APOE4"", ""passages"": ""P1""}"	neuron	APOE4	P1
GSE102956	GSM2751161	SRR5956471	SRX3114838	Homo sapiens	single	RNA-Seq NEU APOE4_rep2	iPSC-derived neurons	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/956/SRR5956471.sralite.1			"{""cell_type"": ""neuron"", ""genotype"": ""APOE4"", ""passages"": ""P1""}"	neuron	APOE4	P1
GSE102956	GSM2751162	SRR5956472	SRX3114839	Homo sapiens	single	RNA-Seq NEU APOE4_rep3	iPSC-derived neurons	RNA-Seq	TRANSCRIPTOMIC	cDNA	Illumina HiSeq 2000	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR005/956/SRR5956472.sralite.1			"{""cell_type"": ""neuron"", ""genotype"": ""APOE4"", ""passages"": ""P1""}"	neuron	APOE4	P1
