dataset	sample	run	experiment	species	layout	title	source	library_strategy	library_source	library_selection	instrument	fastq_url	fastq_md5	fastq_bytes	characteristics	age	disease	genotype	organism	sex	strain	tissue
E-MTAB-6293	ERS2075838	ERR2237871	ERX2290038	Mus musculus	single	10406X19.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/001/ERR2237871/ERR2237871.fastq.gz			"{""age"": ""6 week"", ""disease"": ""Spinocerebellar ataxia type 2"", ""genotype"": ""ATXN2Q127"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	6 week	Spinocerebellar ataxia type 2	ATXN2Q127	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075839	ERR2237872	ERX2290039	Mus musculus	single	10406X2.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/002/ERR2237872/ERR2237872.fastq.gz			"{""age"": ""6 week"", ""disease"": ""normal"", ""genotype"": ""wild type genotype"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	6 week	normal	wild type genotype	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075840	ERR2237873	ERX2290040	Mus musculus	single	10406X20.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/003/ERR2237873/ERR2237873.fastq.gz			"{""age"": ""6 week"", ""disease"": ""Spinocerebellar ataxia type 2"", ""genotype"": ""ATXN2Q127"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	6 week	Spinocerebellar ataxia type 2	ATXN2Q127	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075841	ERR2237874	ERX2290041	Mus musculus	single	10406X21.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/004/ERR2237874/ERR2237874.fastq.gz			"{""age"": ""6 week"", ""disease"": ""Spinocerebellar ataxia type 2"", ""genotype"": ""ATXN2Q127"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	6 week	Spinocerebellar ataxia type 2	ATXN2Q127	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075842	ERR2237875	ERX2290042	Mus musculus	single	10406X22.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/005/ERR2237875/ERR2237875.fastq.gz			"{""age"": ""6 week"", ""disease"": ""Spinocerebellar ataxia type 2"", ""genotype"": ""ATXN2Q127"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	6 week	Spinocerebellar ataxia type 2	ATXN2Q127	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075843	ERR2237876	ERX2290043	Mus musculus	single	10406X23.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/006/ERR2237876/ERR2237876.fastq.gz			"{""age"": ""6 week"", ""disease"": ""Spinocerebellar ataxia type 2"", ""genotype"": ""ATXN2Q127"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	6 week	Spinocerebellar ataxia type 2	ATXN2Q127	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075844	ERR2237877	ERX2290044	Mus musculus	single	10406X24.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/007/ERR2237877/ERR2237877.fastq.gz			"{""age"": ""6 week"", ""disease"": ""Spinocerebellar ataxia type 2"", ""genotype"": ""ATXN2Q127"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	6 week	Spinocerebellar ataxia type 2	ATXN2Q127	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075845	ERR2237878	ERX2290045	Mus musculus	single	10406X25.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/008/ERR2237878/ERR2237878.fastq.gz			"{""age"": ""6 week"", ""disease"": ""Spinocerebellar ataxia type 2"", ""genotype"": ""ATXN2Q127"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	6 week	Spinocerebellar ataxia type 2	ATXN2Q127	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075846	ERR2237879	ERX2290046	Mus musculus	single	10406X26.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/009/ERR2237879/ERR2237879.fastq.gz			"{""age"": ""6 week"", ""disease"": ""Spinocerebellar ataxia type 2"", ""genotype"": ""ATXN2Q127"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	6 week	Spinocerebellar ataxia type 2	ATXN2Q127	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075847	ERR2237880	ERX2290047	Mus musculus	single	10406X27.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/000/ERR2237880/ERR2237880.fastq.gz			"{""age"": ""6 week"", ""disease"": ""Spinocerebellar ataxia type 2"", ""genotype"": ""ATXN2Q127"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	6 week	Spinocerebellar ataxia type 2	ATXN2Q127	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075848	ERR2237881	ERX2290048	Mus musculus	single	10630X27.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/001/ERR2237881/ERR2237881.fastq.gz			"{""age"": ""3 week"", ""disease"": ""Spinocerebellar ataxia type 2"", ""genotype"": ""ATXN2Q127"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	3 week	Spinocerebellar ataxia type 2	ATXN2Q127	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075849	ERR2237882	ERX2290049	Mus musculus	single	10406X28.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/002/ERR2237882/ERR2237882.fastq.gz			"{""age"": ""6 week"", ""disease"": ""Spinocerebellar ataxia type 2"", ""genotype"": ""ATXN2Q127"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	6 week	Spinocerebellar ataxia type 2	ATXN2Q127	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075850	ERR2237883	ERX2290050	Mus musculus	single	10406X29.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/003/ERR2237883/ERR2237883.fastq.gz			"{""age"": ""6 week"", ""disease"": ""Spinocerebellar ataxia type 2"", ""genotype"": ""ATXN2Q127"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	6 week	Spinocerebellar ataxia type 2	ATXN2Q127	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075851	ERR2237884	ERX2290051	Mus musculus	single	10406X3.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/004/ERR2237884/ERR2237884.fastq.gz			"{""age"": ""6 week"", ""disease"": ""normal"", ""genotype"": ""wild type genotype"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	6 week	normal	wild type genotype	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075852	ERR2237885	ERX2290052	Mus musculus	single	10406X30.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/005/ERR2237885/ERR2237885.fastq.gz			"{""age"": ""6 week"", ""disease"": ""Spinocerebellar ataxia type 2"", ""genotype"": ""ATXN2Q127"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	6 week	Spinocerebellar ataxia type 2	ATXN2Q127	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075853	ERR2237886	ERX2290053	Mus musculus	single	10406X31.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/006/ERR2237886/ERR2237886.fastq.gz			"{""age"": ""6 week"", ""disease"": ""Spinocerebellar ataxia type 2"", ""genotype"": ""ATXN2Q127"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	6 week	Spinocerebellar ataxia type 2	ATXN2Q127	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075854	ERR2237887	ERX2290054	Mus musculus	single	10406X32.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/007/ERR2237887/ERR2237887.fastq.gz			"{""age"": ""6 week"", ""disease"": ""Spinocerebellar ataxia type 2"", ""genotype"": ""ATXN2Q127"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	6 week	Spinocerebellar ataxia type 2	ATXN2Q127	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075855	ERR2237888	ERX2290055	Mus musculus	single	10406X4.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/008/ERR2237888/ERR2237888.fastq.gz			"{""age"": ""6 week"", ""disease"": ""normal"", ""genotype"": ""wild type genotype"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	6 week	normal	wild type genotype	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075856	ERR2237889	ERX2290056	Mus musculus	single	10406X5.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/009/ERR2237889/ERR2237889.fastq.gz			"{""age"": ""6 week"", ""disease"": ""normal"", ""genotype"": ""wild type genotype"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	6 week	normal	wild type genotype	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075857	ERR2237890	ERX2290057	Mus musculus	single	10406X6.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/000/ERR2237890/ERR2237890.fastq.gz			"{""age"": ""6 week"", ""disease"": ""normal"", ""genotype"": ""wild type genotype"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	6 week	normal	wild type genotype	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075858	ERR2237891	ERX2290058	Mus musculus	single	10406X7.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/001/ERR2237891/ERR2237891.fastq.gz			"{""age"": ""6 week"", ""disease"": ""normal"", ""genotype"": ""wild type genotype"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	6 week	normal	wild type genotype	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075859	ERR2237892	ERX2290059	Mus musculus	single	10406X8.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/002/ERR2237892/ERR2237892.fastq.gz			"{""age"": ""6 week"", ""disease"": ""normal"", ""genotype"": ""wild type genotype"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	6 week	normal	wild type genotype	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075860	ERR2237893	ERX2290060	Mus musculus	single	10406X9.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/003/ERR2237893/ERR2237893.fastq.gz			"{""age"": ""6 week"", ""disease"": ""normal"", ""genotype"": ""wild type genotype"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	6 week	normal	wild type genotype	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075861	ERR2237894	ERX2290061	Mus musculus	single	10630X1.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/004/ERR2237894/ERR2237894.fastq.gz			"{""age"": ""1 day"", ""disease"": ""normal"", ""genotype"": ""wild type genotype"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	1 day	normal	wild type genotype	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075862	ERR2237895	ERX2290062	Mus musculus	single	10630X10.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/005/ERR2237895/ERR2237895.fastq.gz			"{""age"": ""1 day"", ""disease"": ""Spinocerebellar ataxia type 2"", ""genotype"": ""ATXN2Q127"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	1 day	Spinocerebellar ataxia type 2	ATXN2Q127	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075863	ERR2237896	ERX2290063	Mus musculus	single	10630X11.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/006/ERR2237896/ERR2237896.fastq.gz			"{""age"": ""1 day"", ""disease"": ""Spinocerebellar ataxia type 2"", ""genotype"": ""ATXN2Q127"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	1 day	Spinocerebellar ataxia type 2	ATXN2Q127	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075864	ERR2237897	ERX2290064	Mus musculus	single	10630X12.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/007/ERR2237897/ERR2237897.fastq.gz			"{""age"": ""1 day"", ""disease"": ""Spinocerebellar ataxia type 2"", ""genotype"": ""ATXN2Q127"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	1 day	Spinocerebellar ataxia type 2	ATXN2Q127	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075865	ERR2237898	ERX2290065	Mus musculus	single	10630X13.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/008/ERR2237898/ERR2237898.fastq.gz			"{""age"": ""1 day"", ""disease"": ""Spinocerebellar ataxia type 2"", ""genotype"": ""ATXN2Q127"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	1 day	Spinocerebellar ataxia type 2	ATXN2Q127	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075866	ERR2237899	ERX2290066	Mus musculus	single	10630X14.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/009/ERR2237899/ERR2237899.fastq.gz			"{""age"": ""1 day"", ""disease"": ""Spinocerebellar ataxia type 2"", ""genotype"": ""ATXN2Q127"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	1 day	Spinocerebellar ataxia type 2	ATXN2Q127	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075867	ERR2237900	ERX2290067	Mus musculus	single	10630X15.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/000/ERR2237900/ERR2237900.fastq.gz			"{""age"": ""1 day"", ""disease"": ""Spinocerebellar ataxia type 2"", ""genotype"": ""ATXN2Q127"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	1 day	Spinocerebellar ataxia type 2	ATXN2Q127	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075868	ERR2237901	ERX2290068	Mus musculus	single	10630X16.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/001/ERR2237901/ERR2237901.fastq.gz			"{""age"": ""1 day"", ""disease"": ""Spinocerebellar ataxia type 2"", ""genotype"": ""ATXN2Q127"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	1 day	Spinocerebellar ataxia type 2	ATXN2Q127	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075869	ERR2237902	ERX2290069	Mus musculus	single	10630X17.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/002/ERR2237902/ERR2237902.fastq.gz			"{""age"": ""3 week"", ""disease"": ""normal"", ""genotype"": ""wild type genotype"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	3 week	normal	wild type genotype	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075870	ERR2237903	ERX2290070	Mus musculus	single	10630X18.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/003/ERR2237903/ERR2237903.fastq.gz			"{""age"": ""3 week"", ""disease"": ""normal"", ""genotype"": ""wild type genotype"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	3 week	normal	wild type genotype	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075871	ERR2237904	ERX2290071	Mus musculus	single	10630X19.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/004/ERR2237904/ERR2237904.fastq.gz			"{""age"": ""3 week"", ""disease"": ""normal"", ""genotype"": ""wild type genotype"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	3 week	normal	wild type genotype	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075872	ERR2237905	ERX2290072	Mus musculus	single	10630X2.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/005/ERR2237905/ERR2237905.fastq.gz			"{""age"": ""1 day"", ""disease"": ""normal"", ""genotype"": ""wild type genotype"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	1 day	normal	wild type genotype	Mus musculus	male	B6D2	cerebellum
