dataset	sample	run	experiment	species	layout	title	source	library_strategy	library_source	library_selection	instrument	fastq_url	fastq_md5	fastq_bytes	characteristics	age	disease	genotype	organism	sex	strain	tissue
E-MTAB-6293	ERS2075873	ERR2237906	ERX2290073	Mus musculus	single	10630X20.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/006/ERR2237906/ERR2237906.fastq.gz			"{""age"": ""3 week"", ""disease"": ""normal"", ""genotype"": ""wild type genotype"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	3 week	normal	wild type genotype	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075874	ERR2237907	ERX2290074	Mus musculus	single	10630X21.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/007/ERR2237907/ERR2237907.fastq.gz			"{""age"": ""3 week"", ""disease"": ""normal"", ""genotype"": ""wild type genotype"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	3 week	normal	wild type genotype	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075875	ERR2237908	ERX2290075	Mus musculus	single	10630X22.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/008/ERR2237908/ERR2237908.fastq.gz			"{""age"": ""3 week"", ""disease"": ""normal"", ""genotype"": ""wild type genotype"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	3 week	normal	wild type genotype	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075876	ERR2237909	ERX2290076	Mus musculus	single	10630X23.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/009/ERR2237909/ERR2237909.fastq.gz			"{""age"": ""3 week"", ""disease"": ""normal"", ""genotype"": ""wild type genotype"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	3 week	normal	wild type genotype	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075877	ERR2237910	ERX2290077	Mus musculus	single	10630X24.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/000/ERR2237910/ERR2237910.fastq.gz			"{""age"": ""3 week"", ""disease"": ""normal"", ""genotype"": ""wild type genotype"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	3 week	normal	wild type genotype	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075878	ERR2237911	ERX2290078	Mus musculus	single	10630X25.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/001/ERR2237911/ERR2237911.fastq.gz			"{""age"": ""3 week"", ""disease"": ""Spinocerebellar ataxia type 2"", ""genotype"": ""ATXN2Q127"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	3 week	Spinocerebellar ataxia type 2	ATXN2Q127	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075879	ERR2237912	ERX2290079	Mus musculus	single	10630X26.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/002/ERR2237912/ERR2237912.fastq.gz			"{""age"": ""3 week"", ""disease"": ""Spinocerebellar ataxia type 2"", ""genotype"": ""ATXN2Q127"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	3 week	Spinocerebellar ataxia type 2	ATXN2Q127	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075880	ERR2237913	ERX2290080	Mus musculus	single	10630X28.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/003/ERR2237913/ERR2237913.fastq.gz			"{""age"": ""3 week"", ""disease"": ""Spinocerebellar ataxia type 2"", ""genotype"": ""ATXN2Q127"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	3 week	Spinocerebellar ataxia type 2	ATXN2Q127	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075881	ERR2237914	ERX2290081	Mus musculus	single	10630X29.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/004/ERR2237914/ERR2237914.fastq.gz			"{""age"": ""3 week"", ""disease"": ""Spinocerebellar ataxia type 2"", ""genotype"": ""ATXN2Q127"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	3 week	Spinocerebellar ataxia type 2	ATXN2Q127	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075882	ERR2237915	ERX2290082	Mus musculus	single	10630X3.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/005/ERR2237915/ERR2237915.fastq.gz			"{""age"": ""1 day"", ""disease"": ""normal"", ""genotype"": ""wild type genotype"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	1 day	normal	wild type genotype	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075883	ERR2237916	ERX2290083	Mus musculus	single	10630X30.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/006/ERR2237916/ERR2237916.fastq.gz			"{""age"": ""3 week"", ""disease"": ""Spinocerebellar ataxia type 2"", ""genotype"": ""ATXN2Q127"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	3 week	Spinocerebellar ataxia type 2	ATXN2Q127	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075884	ERR2237917	ERX2290084	Mus musculus	single	10630X31.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/007/ERR2237917/ERR2237917.fastq.gz			"{""age"": ""3 week"", ""disease"": ""Spinocerebellar ataxia type 2"", ""genotype"": ""ATXN2Q127"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	3 week	Spinocerebellar ataxia type 2	ATXN2Q127	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075885	ERR2237918	ERX2290085	Mus musculus	single	10630X32.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/008/ERR2237918/ERR2237918.fastq.gz			"{""age"": ""3 week"", ""disease"": ""Spinocerebellar ataxia type 2"", ""genotype"": ""ATXN2Q127"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	3 week	Spinocerebellar ataxia type 2	ATXN2Q127	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075886	ERR2237919	ERX2290086	Mus musculus	single	10630X4.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/009/ERR2237919/ERR2237919.fastq.gz			"{""age"": ""1 day"", ""disease"": ""normal"", ""genotype"": ""wild type genotype"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	1 day	normal	wild type genotype	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075887	ERR2237920	ERX2290087	Mus musculus	single	10630X5.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/000/ERR2237920/ERR2237920.fastq.gz			"{""age"": ""1 day"", ""disease"": ""normal"", ""genotype"": ""wild type genotype"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	1 day	normal	wild type genotype	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075888	ERR2237921	ERX2290088	Mus musculus	single	10630X6.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/001/ERR2237921/ERR2237921.fastq.gz			"{""age"": ""1 day"", ""disease"": ""normal"", ""genotype"": ""wild type genotype"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	1 day	normal	wild type genotype	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075889	ERR2237922	ERX2290089	Mus musculus	single	10630X7.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/002/ERR2237922/ERR2237922.fastq.gz			"{""age"": ""1 day"", ""disease"": ""normal"", ""genotype"": ""wild type genotype"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	1 day	normal	wild type genotype	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075890	ERR2237923	ERX2290090	Mus musculus	single	10630X8.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/003/ERR2237923/ERR2237923.fastq.gz			"{""age"": ""1 day"", ""disease"": ""normal"", ""genotype"": ""wild type genotype"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	1 day	normal	wild type genotype	Mus musculus	male	B6D2	cerebellum
E-MTAB-6293	ERS2075891	ERR2237924	ERX2290091	Mus musculus	single	10630X9.txt.gz	cerebellum	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	Illumina HiSeq 2000	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/004/ERR2237924/ERR2237924.fastq.gz			"{""age"": ""1 day"", ""disease"": ""Spinocerebellar ataxia type 2"", ""genotype"": ""ATXN2Q127"", ""organism"": ""Mus musculus"", ""sex"": ""male"", ""strain"": ""B6D2"", ""tissue"": ""cerebellum""}"	1 day	Spinocerebellar ataxia type 2	ATXN2Q127	Mus musculus	male	B6D2	cerebellum
