dataset	sample	run	experiment	species	layout	title	source	library_strategy	library_source	library_selection	instrument	fastq_url	fastq_md5	fastq_bytes	characteristics	age	cell_type	genotype	sex	tissue
GSE234350	GSM7465477	SRR24860338	SRX20624409	Mus musculus	paired	APOE4-KI, Phagocytic microglia, biol rep 4	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860338/SRR24860338.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Phagocytic microglia"", ""genotype"": ""APOE4-KI"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Phagocytic microglia	APOE4-KI	Male	brain
GSE234350	GSM7465477	SRR24860339	SRX20624409	Mus musculus	paired	APOE4-KI, Phagocytic microglia, biol rep 4	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860339/SRR24860339.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Phagocytic microglia"", ""genotype"": ""APOE4-KI"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Phagocytic microglia	APOE4-KI	Male	brain
GSE234350	GSM7465478	SRR24860336	SRX20624410	Mus musculus	paired	APOE4-KI, Non-phagocytic microglia, biol rep 3	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860336/SRR24860336.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Non-phagocytic microglia"", ""genotype"": ""APOE4-KI"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Non-phagocytic microglia	APOE4-KI	Male	brain
GSE234350	GSM7465478	SRR24860337	SRX20624410	Mus musculus	paired	APOE4-KI, Non-phagocytic microglia, biol rep 3	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860337/SRR24860337.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Non-phagocytic microglia"", ""genotype"": ""APOE4-KI"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Non-phagocytic microglia	APOE4-KI	Male	brain
GSE234350	GSM7465479	SRR24860334	SRX20624411	Mus musculus	paired	APOE4-KI, Phagocytic microglia, biol rep 5	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860334/SRR24860334.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Phagocytic microglia"", ""genotype"": ""APOE4-KI"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Phagocytic microglia	APOE4-KI	Male	brain
GSE234350	GSM7465479	SRR24860335	SRX20624411	Mus musculus	paired	APOE4-KI, Phagocytic microglia, biol rep 5	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860335/SRR24860335.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Phagocytic microglia"", ""genotype"": ""APOE4-KI"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Phagocytic microglia	APOE4-KI	Male	brain
GSE234350	GSM7465480	SRR24860332	SRX20624412	Mus musculus	paired	APOE4-KI, Non-phagocytic microglia, biol rep 4	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860332/SRR24860332.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Non-phagocytic microglia"", ""genotype"": ""APOE4-KI"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Non-phagocytic microglia	APOE4-KI	Male	brain
GSE234350	GSM7465480	SRR24860333	SRX20624412	Mus musculus	paired	APOE4-KI, Non-phagocytic microglia, biol rep 4	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860333/SRR24860333.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Non-phagocytic microglia"", ""genotype"": ""APOE4-KI"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Non-phagocytic microglia	APOE4-KI	Male	brain
GSE234350	GSM7465481	SRR24860330	SRX20624413	Mus musculus	paired	APOE4-KI, Phagocytic microglia, biol rep 6	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860330/SRR24860330.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Phagocytic microglia"", ""genotype"": ""APOE4-KI"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Phagocytic microglia	APOE4-KI	Male	brain
GSE234350	GSM7465481	SRR24860331	SRX20624413	Mus musculus	paired	APOE4-KI, Phagocytic microglia, biol rep 6	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860331/SRR24860331.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Phagocytic microglia"", ""genotype"": ""APOE4-KI"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Phagocytic microglia	APOE4-KI	Male	brain
GSE234350	GSM7465482	SRR24860328	SRX20624414	Mus musculus	paired	APOE4-KI, Non-phagocytic microglia, biol rep 5	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860328/SRR24860328.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Non-phagocytic microglia"", ""genotype"": ""APOE4-KI"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Non-phagocytic microglia	APOE4-KI	Male	brain
GSE234350	GSM7465482	SRR24860329	SRX20624414	Mus musculus	paired	APOE4-KI, Non-phagocytic microglia, biol rep 5	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860329/SRR24860329.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Non-phagocytic microglia"", ""genotype"": ""APOE4-KI"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Non-phagocytic microglia	APOE4-KI	Male	brain
GSE234350	GSM7465483	SRR24860326	SRX20624415	Mus musculus	paired	APOE4-cKO, Non-phagocytic microglia, biol rep 1	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860326/SRR24860326.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Non-phagocytic microglia"", ""genotype"": ""APOE4-cKO"", ""sex"": ""Female"", ""tissue"": ""brain""}"	8 Months	Non-phagocytic microglia	APOE4-cKO	Female	brain
GSE234350	GSM7465483	SRR24860327	SRX20624415	Mus musculus	paired	APOE4-cKO, Non-phagocytic microglia, biol rep 1	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860327/SRR24860327.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Non-phagocytic microglia"", ""genotype"": ""APOE4-cKO"", ""sex"": ""Female"", ""tissue"": ""brain""}"	8 Months	Non-phagocytic microglia	APOE4-cKO	Female	brain
GSE234350	GSM7465484	SRR24860324	SRX20624416	Mus musculus	paired	APOE4-cKO, Phagocytic microglia, biol rep 1	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860324/SRR24860324.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Phagocytic microglia"", ""genotype"": ""APOE4-cKO"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Phagocytic microglia	APOE4-cKO	Male	brain
GSE234350	GSM7465484	SRR24860325	SRX20624416	Mus musculus	paired	APOE4-cKO, Phagocytic microglia, biol rep 1	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860325/SRR24860325.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Phagocytic microglia"", ""genotype"": ""APOE4-cKO"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Phagocytic microglia	APOE4-cKO	Male	brain
GSE234350	GSM7465485	SRR24860322	SRX20624417	Mus musculus	paired	APOE4-cKO, Non-phagocytic microglia, biol rep 2	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860322/SRR24860322.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Non-phagocytic microglia"", ""genotype"": ""APOE4-cKO"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Non-phagocytic microglia	APOE4-cKO	Male	brain
GSE234350	GSM7465485	SRR24860323	SRX20624417	Mus musculus	paired	APOE4-cKO, Non-phagocytic microglia, biol rep 2	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860323/SRR24860323.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Non-phagocytic microglia"", ""genotype"": ""APOE4-cKO"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Non-phagocytic microglia	APOE4-cKO	Male	brain
GSE234350	GSM7465486	SRR24860320	SRX20624418	Mus musculus	paired	APOE4-cKO, Phagocytic microglia, biol rep 2	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860320/SRR24860320.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Phagocytic microglia"", ""genotype"": ""APOE4-cKO"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Phagocytic microglia	APOE4-cKO	Male	brain
GSE234350	GSM7465486	SRR24860321	SRX20624418	Mus musculus	paired	APOE4-cKO, Phagocytic microglia, biol rep 2	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860321/SRR24860321.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Phagocytic microglia"", ""genotype"": ""APOE4-cKO"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Phagocytic microglia	APOE4-cKO	Male	brain
GSE234350	GSM7465487	SRR24860318	SRX20624419	Mus musculus	paired	APOE4-cKO, Phagocytic microglia, biol rep 3	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860318/SRR24860318.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Phagocytic microglia"", ""genotype"": ""APOE4-cKO"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Phagocytic microglia	APOE4-cKO	Male	brain
GSE234350	GSM7465487	SRR24860319	SRX20624419	Mus musculus	paired	APOE4-cKO, Phagocytic microglia, biol rep 3	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860319/SRR24860319.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Phagocytic microglia"", ""genotype"": ""APOE4-cKO"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Phagocytic microglia	APOE4-cKO	Male	brain
GSE234350	GSM7465488	SRR24860316	SRX20624420	Mus musculus	paired	APOE4-cKO, Non-phagocytic microglia, biol rep 3	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860316/SRR24860316.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Non-phagocytic microglia"", ""genotype"": ""APOE4-cKO"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Non-phagocytic microglia	APOE4-cKO	Male	brain
GSE234350	GSM7465488	SRR24860317	SRX20624420	Mus musculus	paired	APOE4-cKO, Non-phagocytic microglia, biol rep 3	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860317/SRR24860317.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Non-phagocytic microglia"", ""genotype"": ""APOE4-cKO"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Non-phagocytic microglia	APOE4-cKO	Male	brain
GSE234350	GSM7465489	SRR24860314	SRX20624421	Mus musculus	paired	APOE4-cKO, Phagocytic microglia, biol rep 4	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860314/SRR24860314.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Phagocytic microglia"", ""genotype"": ""APOE4-cKO"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Phagocytic microglia	APOE4-cKO	Male	brain
GSE234350	GSM7465489	SRR24860315	SRX20624421	Mus musculus	paired	APOE4-cKO, Phagocytic microglia, biol rep 4	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860315/SRR24860315.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Phagocytic microglia"", ""genotype"": ""APOE4-cKO"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Phagocytic microglia	APOE4-cKO	Male	brain
GSE234350	GSM7465490	SRR24860312	SRX20624422	Mus musculus	paired	APOE4-cKO, Non-phagocytic microglia, biol rep 4	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860312/SRR24860312.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Non-phagocytic microglia"", ""genotype"": ""APOE4-cKO"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Non-phagocytic microglia	APOE4-cKO	Male	brain
GSE234350	GSM7465490	SRR24860313	SRX20624422	Mus musculus	paired	APOE4-cKO, Non-phagocytic microglia, biol rep 4	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860313/SRR24860313.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Non-phagocytic microglia"", ""genotype"": ""APOE4-cKO"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Non-phagocytic microglia	APOE4-cKO	Male	brain
GSE234350	GSM7465491	SRR24860310	SRX20624423	Mus musculus	paired	APOE3-KI, Phagocytic microglia, biol rep 1	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860310/SRR24860310.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Phagocytic microglia"", ""genotype"": ""APOE3-KI"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Phagocytic microglia	APOE3-KI	Male	brain
GSE234350	GSM7465491	SRR24860311	SRX20624423	Mus musculus	paired	APOE3-KI, Phagocytic microglia, biol rep 1	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860311/SRR24860311.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Phagocytic microglia"", ""genotype"": ""APOE3-KI"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Phagocytic microglia	APOE3-KI	Male	brain
GSE234350	GSM7465492	SRR24860308	SRX20624424	Mus musculus	paired	APOE3-KI, Non-phagocytic microglia, biol rep 1	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860308/SRR24860308.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Non-phagocytic microglia"", ""genotype"": ""APOE3-KI"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Non-phagocytic microglia	APOE3-KI	Male	brain
GSE234350	GSM7465492	SRR24860309	SRX20624424	Mus musculus	paired	APOE3-KI, Non-phagocytic microglia, biol rep 1	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860309/SRR24860309.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Non-phagocytic microglia"", ""genotype"": ""APOE3-KI"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Non-phagocytic microglia	APOE3-KI	Male	brain
GSE234350	GSM7465493	SRR24860306	SRX20624425	Mus musculus	paired	APOE3-KI, Phagocytic microglia, biol rep 2	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860306/SRR24860306.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Phagocytic microglia"", ""genotype"": ""APOE3-KI"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Phagocytic microglia	APOE3-KI	Male	brain
GSE234350	GSM7465493	SRR24860307	SRX20624425	Mus musculus	paired	APOE3-KI, Phagocytic microglia, biol rep 2	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860307/SRR24860307.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Phagocytic microglia"", ""genotype"": ""APOE3-KI"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Phagocytic microglia	APOE3-KI	Male	brain
GSE234350	GSM7465494	SRR24860304	SRX20624426	Mus musculus	paired	APOE3-KI, Non-phagocytic microglia, biol rep 2	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860304/SRR24860304.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Non-phagocytic microglia"", ""genotype"": ""APOE3-KI"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Non-phagocytic microglia	APOE3-KI	Male	brain
GSE234350	GSM7465494	SRR24860305	SRX20624426	Mus musculus	paired	APOE3-KI, Non-phagocytic microglia, biol rep 2	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860305/SRR24860305.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Non-phagocytic microglia"", ""genotype"": ""APOE3-KI"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Non-phagocytic microglia	APOE3-KI	Male	brain
GSE234350	GSM7465495	SRR24860302	SRX20624427	Mus musculus	paired	APOE3-KI, Non-phagocytic microglia, biol rep 3	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860302/SRR24860302.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Non-phagocytic microglia"", ""genotype"": ""APOE3-KI"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Non-phagocytic microglia	APOE3-KI	Male	brain
GSE234350	GSM7465495	SRR24860303	SRX20624427	Mus musculus	paired	APOE3-KI, Non-phagocytic microglia, biol rep 3	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860303/SRR24860303.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Non-phagocytic microglia"", ""genotype"": ""APOE3-KI"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Non-phagocytic microglia	APOE3-KI	Male	brain
