dataset	sample	run	experiment	species	layout	title	source	library_strategy	library_source	library_selection	instrument	fastq_url	fastq_md5	fastq_bytes	characteristics	age	cell_type	genotype	sex	tissue
GSE234350	GSM7465472	SRR24860348	SRX20624404	Mus musculus	paired	APOE4-KI, Phagocytic microglia, biol rep 1	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860348/SRR24860348.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Phagocytic microglia"", ""genotype"": ""APOE4-KI"", ""sex"": ""Female"", ""tissue"": ""brain""}"	8 Months	Phagocytic microglia	APOE4-KI	Female	brain
GSE234350	GSM7465472	SRR24860349	SRX20624404	Mus musculus	paired	APOE4-KI, Phagocytic microglia, biol rep 1	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860349/SRR24860349.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Phagocytic microglia"", ""genotype"": ""APOE4-KI"", ""sex"": ""Female"", ""tissue"": ""brain""}"	8 Months	Phagocytic microglia	APOE4-KI	Female	brain
GSE234350	GSM7465473	SRR24860346	SRX20624405	Mus musculus	paired	APOE4-KI, Non-phagocytic microglia, biol rep 1	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860346/SRR24860346.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Non-phagocytic microglia"", ""genotype"": ""APOE4-KI"", ""sex"": ""Female"", ""tissue"": ""brain""}"	8 Months	Non-phagocytic microglia	APOE4-KI	Female	brain
GSE234350	GSM7465473	SRR24860347	SRX20624405	Mus musculus	paired	APOE4-KI, Non-phagocytic microglia, biol rep 1	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860347/SRR24860347.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Non-phagocytic microglia"", ""genotype"": ""APOE4-KI"", ""sex"": ""Female"", ""tissue"": ""brain""}"	8 Months	Non-phagocytic microglia	APOE4-KI	Female	brain
GSE234350	GSM7465474	SRR24860344	SRX20624406	Mus musculus	paired	APOE4-KI, Phagocytic microglia, biol rep 2	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860344/SRR24860344.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Phagocytic microglia"", ""genotype"": ""APOE4-KI"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Phagocytic microglia	APOE4-KI	Male	brain
GSE234350	GSM7465474	SRR24860345	SRX20624406	Mus musculus	paired	APOE4-KI, Phagocytic microglia, biol rep 2	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860345/SRR24860345.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Phagocytic microglia"", ""genotype"": ""APOE4-KI"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Phagocytic microglia	APOE4-KI	Male	brain
GSE234350	GSM7465475	SRR24860342	SRX20624407	Mus musculus	paired	APOE4-KI, Phagocytic microglia, biol rep 3	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860342/SRR24860342.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Phagocytic microglia"", ""genotype"": ""APOE4-KI"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Phagocytic microglia	APOE4-KI	Male	brain
GSE234350	GSM7465475	SRR24860343	SRX20624407	Mus musculus	paired	APOE4-KI, Phagocytic microglia, biol rep 3	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860343/SRR24860343.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Phagocytic microglia"", ""genotype"": ""APOE4-KI"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Phagocytic microglia	APOE4-KI	Male	brain
GSE234350	GSM7465476	SRR24860340	SRX20624408	Mus musculus	paired	APOE4-KI, Non-phagocytic microglia, biol rep 2	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860340/SRR24860340.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Non-phagocytic microglia"", ""genotype"": ""APOE4-KI"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Non-phagocytic microglia	APOE4-KI	Male	brain
GSE234350	GSM7465476	SRR24860341	SRX20624408	Mus musculus	paired	APOE4-KI, Non-phagocytic microglia, biol rep 2	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860341/SRR24860341.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Non-phagocytic microglia"", ""genotype"": ""APOE4-KI"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Non-phagocytic microglia	APOE4-KI	Male	brain
