dataset	sample	run	experiment	species	layout	title	source	library_strategy	library_source	library_selection	instrument	fastq_url	fastq_md5	fastq_bytes	characteristics	background	batch	cell_type	genotype	sex	treatment
GSE163857	GSM4988809	SRR13306423	SRX9734425	Mus musculus	single	F92_A11_mouse_E4/E4_FAD_microglia	mouse_E4/E4_FAD_microglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR013/13306/SRR13306423/SRR13306423.lite.1			"{""background"": ""FAD transgenic"", ""batch"": ""Batch 1"", ""cell_type"": ""MACS-sorted CD11b+ cells from brain homogenates"", ""genotype"": ""E4/E4"", ""sex"": ""Female""}"	FAD transgenic	Batch 1	MACS-sorted CD11b+ cells from brain homogenates	E4/E4	Female	
GSE163857	GSM4988810	SRR13306424	SRX9734426	Mus musculus	single	F93_B11_mouse_E4/E4_FAD_microglia	mouse_E4/E4_FAD_microglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR013/13306/SRR13306424/SRR13306424.lite.1			"{""background"": ""FAD transgenic"", ""batch"": ""Batch 1"", ""cell_type"": ""MACS-sorted CD11b+ cells from brain homogenates"", ""genotype"": ""E4/E4"", ""sex"": ""Female""}"	FAD transgenic	Batch 1	MACS-sorted CD11b+ cells from brain homogenates	E4/E4	Female	
GSE163857	GSM4988811	SRR13306425	SRX9734427	Mus musculus	single	FA17_E11_mouse_E4/E4_TR_microglia	mouse_E4/E4_TR_microglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR013/13306/SRR13306425/SRR13306425.lite.1			"{""background"": ""Targeted Replacement Control"", ""batch"": ""Batch 1"", ""cell_type"": ""MACS-sorted CD11b+ cells from brain homogenates"", ""genotype"": ""E4/E4"", ""sex"": ""Female""}"	Targeted Replacement Control	Batch 1	MACS-sorted CD11b+ cells from brain homogenates	E4/E4	Female	
GSE163857	GSM4988812	SRR13306426	SRX9734428	Mus musculus	single	FA66_F11_mouse_E4/E4_FAD_microglia	mouse_E4/E4_FAD_microglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR013/13306/SRR13306426/SRR13306426.lite.1			"{""background"": ""FAD transgenic"", ""batch"": ""Batch 1"", ""cell_type"": ""MACS-sorted CD11b+ cells from brain homogenates"", ""genotype"": ""E4/E4"", ""sex"": ""Female""}"	FAD transgenic	Batch 1	MACS-sorted CD11b+ cells from brain homogenates	E4/E4	Female	
GSE163857	GSM4988813	SRR13306427	SRX9734429	Mus musculus	single	M10a_C10_mouse_E3/E3_TR_microglia	mouse_E3/E3_TR_microglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR013/13306/SRR13306427/SRR13306427.lite.1			"{""background"": ""Targeted Replacement Control"", ""batch"": ""Batch 1"", ""cell_type"": ""MACS-sorted CD11b+ cells from brain homogenates"", ""genotype"": ""E3/E3"", ""sex"": ""Male""}"	Targeted Replacement Control	Batch 1	MACS-sorted CD11b+ cells from brain homogenates	E3/E3	Male	
GSE163857	GSM4988814	SRR13306428	SRX9734430	Mus musculus	single	M10b_D12_mouse_E4/E4_FAD_microglia	mouse_E4/E4_FAD_microglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR013/13306/SRR13306428/SRR13306428.lite.1			"{""background"": ""FAD transgenic"", ""batch"": ""Batch 1"", ""cell_type"": ""MACS-sorted CD11b+ cells from brain homogenates"", ""genotype"": ""E4/E4"", ""sex"": ""Male""}"	FAD transgenic	Batch 1	MACS-sorted CD11b+ cells from brain homogenates	E4/E4	Male	
GSE163857	GSM4988815	SRR13306429	SRX9734431	Mus musculus	single	M11_D10_mouse_E3/E3_FAD_microglia	mouse_E3/E3_FAD_microglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR013/13306/SRR13306429/SRR13306429.lite.1			"{""background"": ""FAD transgenic"", ""batch"": ""Batch 1"", ""cell_type"": ""MACS-sorted CD11b+ cells from brain homogenates"", ""genotype"": ""E3/E3"", ""sex"": ""Male""}"	FAD transgenic	Batch 1	MACS-sorted CD11b+ cells from brain homogenates	E3/E3	Male	
GSE163857	GSM4988816	SRR13306430	SRX9734432	Mus musculus	single	M14_C12_mouse_E4/E4_FAD_microglia	mouse_E4/E4_FAD_microglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR013/13306/SRR13306430/SRR13306430.lite.1			"{""background"": ""FAD transgenic"", ""batch"": ""Batch 1"", ""cell_type"": ""MACS-sorted CD11b+ cells from brain homogenates"", ""genotype"": ""E4/E4"", ""sex"": ""Male""}"	FAD transgenic	Batch 1	MACS-sorted CD11b+ cells from brain homogenates	E4/E4	Male	
GSE163857	GSM4988817	SRR13306431	SRX9734433	Mus musculus	single	M16_E12_mouse_E4/E4_FAD_microglia	mouse_E4/E4_FAD_microglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR013/13306/SRR13306431/SRR13306431.lite.1			"{""background"": ""FAD transgenic"", ""batch"": ""Batch 1"", ""cell_type"": ""MACS-sorted CD11b+ cells from brain homogenates"", ""genotype"": ""E4/E4"", ""sex"": ""Male""}"	FAD transgenic	Batch 1	MACS-sorted CD11b+ cells from brain homogenates	E4/E4	Male	
GSE163857	GSM4988818	SRR13306432	SRX9734434	Mus musculus	single	M17_G10_mouse_E3/E3_FAD_microglia	mouse_E3/E3_FAD_microglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos13/sra-pub-zq-1301/SRR013/13306/SRR13306432/SRR13306432.lite.1			"{""background"": ""FAD transgenic"", ""batch"": ""Batch 1"", ""cell_type"": ""MACS-sorted CD11b+ cells from brain homogenates"", ""genotype"": ""E3/E3"", ""sex"": ""Male""}"	FAD transgenic	Batch 1	MACS-sorted CD11b+ cells from brain homogenates	E3/E3	Male	
