dataset	sample	run	experiment	species	layout	title	source	library_strategy	library_source	library_selection	instrument	fastq_url	fastq_md5	fastq_bytes	characteristics	background	batch	cell_type	genotype	sex	treatment
GSE163857	GSM4988839	SRR13306453	SRX9734455	Homo sapiens	single	EDi035-A_CTL2_human_E3/E3_Healthy_iMicroglia	human_E3/E3_Healthy_iMicroglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR013/13306/SRR13306453/SRR13306453.lite.1			"{""background"": ""Healthy Control"", ""batch"": ""Batch 3"", ""cell_type"": ""iPSC-derived microglia"", ""genotype"": ""E3/E3"", ""sex"": ""Female"", ""treatment"": ""CTL""}"	Healthy Control	Batch 3	iPSC-derived microglia	E3/E3	Female	CTL
GSE163857	GSM4988840	SRR13306454	SRX9734456	Homo sapiens	single	EDi035-A_Zn_human_E3/E3_Healthy_iMicroglia	human_E3/E3_Healthy_iMicroglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR013/13306/SRR13306454/SRR13306454.lite.1			"{""background"": ""Healthy Control"", ""batch"": ""Batch 3"", ""cell_type"": ""iPSC-derived microglia"", ""genotype"": ""E3/E3"", ""sex"": ""Female"", ""treatment"": ""Zn""}"	Healthy Control	Batch 3	iPSC-derived microglia	E3/E3	Female	Zn
GSE163857	GSM4988841	SRR13306455	SRX9734457	Homo sapiens	single	EDi036-A_Cd_human_E3/E3_Healthy_iMicroglia	human_E3/E3_Healthy_iMicroglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR013/13306/SRR13306455/SRR13306455.lite.1			"{""background"": ""Healthy Control"", ""batch"": ""Batch 3"", ""cell_type"": ""iPSC-derived microglia"", ""genotype"": ""E3/E3"", ""sex"": ""Female"", ""treatment"": ""Cd""}"	Healthy Control	Batch 3	iPSC-derived microglia	E3/E3	Female	Cd
GSE163857	GSM4988842	SRR13306456	SRX9734458	Homo sapiens	single	EDi036-A_CTL1_human_E3/E3_Healthy_iMicroglia	human_E3/E3_Healthy_iMicroglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR013/13306/SRR13306456/SRR13306456.lite.1			"{""background"": ""Healthy Control"", ""batch"": ""Batch 3"", ""cell_type"": ""iPSC-derived microglia"", ""genotype"": ""E3/E3"", ""sex"": ""Female"", ""treatment"": ""CTL""}"	Healthy Control	Batch 3	iPSC-derived microglia	E3/E3	Female	CTL
GSE163857	GSM4988843	SRR13306457	SRX9734459	Homo sapiens	single	EDi036-A_CTL2_human_E3/E3_Healthy_iMicroglia	human_E3/E3_Healthy_iMicroglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR013/13306/SRR13306457/SRR13306457.lite.1			"{""background"": ""Healthy Control"", ""batch"": ""Batch 3"", ""cell_type"": ""iPSC-derived microglia"", ""genotype"": ""E3/E3"", ""sex"": ""Female"", ""treatment"": ""CTL""}"	Healthy Control	Batch 3	iPSC-derived microglia	E3/E3	Female	CTL
GSE163857	GSM4988844	SRR13306458	SRX9734460	Homo sapiens	single	EDi036-A_Zn_human_E3/E3_Healthy_iMicroglia	human_E3/E3_Healthy_iMicroglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos13/sra-pub-zq-1301/SRR013/13306/SRR13306458/SRR13306458.lite.1			"{""background"": ""Healthy Control"", ""batch"": ""Batch 3"", ""cell_type"": ""iPSC-derived microglia"", ""genotype"": ""E3/E3"", ""sex"": ""Female"", ""treatment"": ""Zn""}"	Healthy Control	Batch 3	iPSC-derived microglia	E3/E3	Female	Zn
GSE163857	GSM4988845	SRR13306459	SRX9734461	Homo sapiens	single	EDi023-A_Cd_human_E4/E4_Healthy_iMicroglia	human_E4/E4_Healthy_iMicroglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR013/13306/SRR13306459/SRR13306459.lite.1			"{""background"": ""Healthy Control"", ""batch"": ""Batch 3"", ""cell_type"": ""iPSC-derived microglia"", ""genotype"": ""E4/E4"", ""sex"": ""Female"", ""treatment"": ""Cd""}"	Healthy Control	Batch 3	iPSC-derived microglia	E4/E4	Female	Cd
GSE163857	GSM4988846	SRR13306460	SRX9734462	Homo sapiens	single	EDi023-A_CTL1_human_E4/E4_Healthy_iMicroglia	human_E4/E4_Healthy_iMicroglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR013/13306/SRR13306460/SRR13306460.lite.1			"{""background"": ""Healthy Control"", ""batch"": ""Batch 3"", ""cell_type"": ""iPSC-derived microglia"", ""genotype"": ""E4/E4"", ""sex"": ""Female"", ""treatment"": ""CTL""}"	Healthy Control	Batch 3	iPSC-derived microglia	E4/E4	Female	CTL
GSE163857	GSM4988847	SRR13306461	SRX9734463	Homo sapiens	single	EDi023-A_CTL2_human_E4/E4_Healthy_iMicroglia	human_E4/E4_Healthy_iMicroglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR013/13306/SRR13306461/SRR13306461.lite.1			"{""background"": ""Healthy Control"", ""batch"": ""Batch 3"", ""cell_type"": ""iPSC-derived microglia"", ""genotype"": ""E4/E4"", ""sex"": ""Female"", ""treatment"": ""CTL""}"	Healthy Control	Batch 3	iPSC-derived microglia	E4/E4	Female	CTL
GSE163857	GSM4988848	SRR13306462	SRX9734464	Homo sapiens	single	EDi023-A_Zn_human_E4/E4_Healthy_iMicroglia	human_E4/E4_Healthy_iMicroglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR013/13306/SRR13306462/SRR13306462.lite.1			"{""background"": ""Healthy Control"", ""batch"": ""Batch 3"", ""cell_type"": ""iPSC-derived microglia"", ""genotype"": ""E4/E4"", ""sex"": ""Female"", ""treatment"": ""Zn""}"	Healthy Control	Batch 3	iPSC-derived microglia	E4/E4	Female	Zn
GSE163857	GSM4988849	SRR13306463	SRX9734465	Homo sapiens	single	CS8FP5iCTR_Cd_human_E3/E4_Healthy_iMicroglia	human_E3/E4_Healthy_iMicroglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR013/13306/SRR13306463/SRR13306463.lite.1			"{""background"": ""Healthy Control"", ""batch"": ""Batch 3"", ""cell_type"": ""iPSC-derived microglia"", ""genotype"": ""E3/E4"", ""sex"": ""Male"", ""treatment"": ""Cd""}"	Healthy Control	Batch 3	iPSC-derived microglia	E3/E4	Male	Cd
GSE163857	GSM4988850	SRR13306464	SRX9734415	Homo sapiens	single	CS8FP5iCTR_CTL1_human_E3/E4_Healthy_iMicroglia	human_E3/E4_Healthy_iMicroglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR013/13306/SRR13306464/SRR13306464.lite.1			"{""background"": ""Healthy Control"", ""batch"": ""Batch 3"", ""cell_type"": ""iPSC-derived microglia"", ""genotype"": ""E3/E4"", ""sex"": ""Male"", ""treatment"": ""CTL""}"	Healthy Control	Batch 3	iPSC-derived microglia	E3/E4	Male	CTL
GSE163857	GSM4988851	SRR13306465	SRX9734416	Homo sapiens	single	CS8FP5iCTR_CTL2_human_E3/E4_Healthy_iMicroglia	human_E3/E4_Healthy_iMicroglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR013/13306/SRR13306465/SRR13306465.lite.1			"{""background"": ""Healthy Control"", ""batch"": ""Batch 3"", ""cell_type"": ""iPSC-derived microglia"", ""genotype"": ""E3/E4"", ""sex"": ""Male"", ""treatment"": ""CTL""}"	Healthy Control	Batch 3	iPSC-derived microglia	E3/E4	Male	CTL
GSE163857	GSM4988852	SRR13306466	SRX9734417	Homo sapiens	single	CS8FP5iCTR_Zn_human_E3/E4_Healthy_iMicroglia	human_E3/E4_Healthy_iMicroglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR013/13306/SRR13306466/SRR13306466.lite.1			"{""background"": ""Healthy Control"", ""batch"": ""Batch 3"", ""cell_type"": ""iPSC-derived microglia"", ""genotype"": ""E3/E4"", ""sex"": ""Male"", ""treatment"": ""Zn""}"	Healthy Control	Batch 3	iPSC-derived microglia	E3/E4	Male	Zn
